country,country_code,year,co2_emissions_mt,co2_per_kwh
ABW,ABW,2000,0.17,505.05
ABW,ABW,2001,0.17,495.2
ABW,ABW,2002,0.17,479.75
ABW,ABW,2003,0.18,469.23
ABW,ABW,2004,0.18,459.47
ABW,ABW,2005,0.18,444.69
ABW,ABW,2006,0.19,436.65
ABW,ABW,2007,0.2,424.18
ABW,ABW,2008,0.2,413.41
ABW,ABW,2009,0.2,404.07
ABW,ABW,2010,0.21,395.26
ABW,ABW,2011,0.21,385.82
ABW,ABW,2012,0.21,371.27
ABW,ABW,2013,0.22,358.72
ABW,ABW,2014,0.22,346.69
ABW,ABW,2015,0.22,336.99
ABW,ABW,2016,0.22,323.5
ABW,ABW,2017,0.23,312.89
ABW,ABW,2018,0.23,303.8
ABW,ABW,2019,0.23,292.16
ABW,ABW,2020,0.23,281.38
ABW,ABW,2021,0.23,268.7
ABW,ABW,2022,0.23,257.49
ABW,ABW,2023,0.24,246.21
ABW,ABW,2024,0.24,234.71
AFG,AFG,2000,0.19,79.83
AFG,AFG,2001,0.19,73.34
AFG,AFG,2002,0.19,73.72
AFG,AFG,2003,0.2,71.69
AFG,AFG,2004,0.21,72.0
AFG,AFG,2005,0.21,68.33
AFG,AFG,2006,0.22,70.54
AFG,AFG,2007,0.22,67.46
AFG,AFG,2008,0.23,66.57
AFG,AFG,2009,0.22,62.05
AFG,AFG,2010,0.25,65.34
AFG,AFG,2011,0.23,59.74
AFG,AFG,2012,0.25,60.94
AFG,AFG,2013,0.25,57.17
AFG,AFG,2014,0.24,53.58
AFG,AFG,2015,0.26,54.81
AFG,AFG,2016,0.24,49.12
AFG,AFG,2017,0.26,50.32
AFG,AFG,2018,0.27,49.9
AFG,AFG,2019,0.27,47.98
AFG,AFG,2020,0.27,45.05
AFG,AFG,2021,0.28,45.31
AFG,AFG,2022,0.27,41.88
AFG,AFG,2023,0.27,40.46
AFG,AFG,2024,0.31,43.65
AGO,AGO,2000,1.39,259.24
AGO,AGO,2001,1.41,256.52
AGO,AGO,2002,1.44,255.44
AGO,AGO,2003,1.46,254.07
AGO,AGO,2004,1.5,254.73
AGO,AGO,2005,1.56,255.7
AGO,AGO,2006,1.61,254.35
AGO,AGO,2007,1.61,250.78
AGO,AGO,2008,1.66,252.18
AGO,AGO,2009,1.69,249.48
AGO,AGO,2010,1.74,251.28
AGO,AGO,2011,1.8,250.45
AGO,AGO,2012,1.83,250.32
AGO,AGO,2013,1.87,249.56
AGO,AGO,2014,1.93,251.23
AGO,AGO,2015,1.96,247.92
AGO,AGO,2016,1.99,245.03
AGO,AGO,2017,2.06,247.86
AGO,AGO,2018,2.11,245.59
AGO,AGO,2019,2.12,243.9
AGO,AGO,2020,2.18,243.82
AGO,AGO,2021,2.26,243.96
AGO,AGO,2022,2.31,243.86
AGO,AGO,2023,2.38,243.88
AGO,AGO,2024,2.45,245.23
ALB,ALB,2000,0.13,40.92
ALB,ALB,2001,0.14,42.91
ALB,ALB,2002,0.16,46.19
ALB,ALB,2003,0.13,38.43
ALB,ALB,2004,0.13,35.85
ALB,ALB,2005,0.15,39.17
ALB,ALB,2006,0.16,38.99
ALB,ALB,2007,0.16,38.61
ALB,ALB,2008,0.17,39.9
ALB,ALB,2009,0.17,38.37
ALB,ALB,2010,0.17,36.91
ALB,ALB,2011,0.16,33.49
ALB,ALB,2012,0.18,35.76
ALB,ALB,2013,0.17,32.63
ALB,ALB,2014,0.17,31.68
ALB,ALB,2015,0.18,32.28
ALB,ALB,2016,0.17,29.57
ALB,ALB,2017,0.19,31.75
ALB,ALB,2018,0.19,30.15
ALB,ALB,2019,0.2,30.06
ALB,ALB,2020,0.21,30.4
ALB,ALB,2021,0.19,27.31
ALB,ALB,2022,0.22,29.86
ALB,ALB,2023,0.21,27.76
ALB,ALB,2024,0.24,29.44
AND,AND,2000,0.03,99.53
AND,AND,2001,0.03,95.59
AND,AND,2002,0.03,89.9
AND,AND,2003,0.03,87.41
AND,AND,2004,0.03,86.8
AND,AND,2005,0.03,78.13
AND,AND,2006,0.03,79.51
AND,AND,2007,0.03,79.83
AND,AND,2008,0.03,70.78
AND,AND,2009,0.03,71.68
AND,AND,2010,0.03,71.74
AND,AND,2011,0.02,62.72
AND,AND,2012,0.03,64.16
AND,AND,2013,0.02,60.27
AND,AND,2014,0.02,55.67
AND,AND,2015,0.02,55.47
AND,AND,2016,0.02,45.46
AND,AND,2017,0.02,45.23
AND,AND,2018,0.02,43.63
AND,AND,2019,0.02,40.64
AND,AND,2020,0.02,42.53
AND,AND,2021,0.02,37.84
AND,AND,2022,0.02,34.77
AND,AND,2023,0.01,28.81
AND,AND,2024,0.02,30.9
ARE,ARE,2000,38.88,470.27
ARE,ARE,2001,40.06,468.3
ARE,ARE,2002,40.49,467.27
ARE,ARE,2003,41.38,465.99
ARE,ARE,2004,42.85,465.65
ARE,ARE,2005,44.11,465.14
ARE,ARE,2006,45.1,461.85
ARE,ARE,2007,46.47,462.48
ARE,ARE,2008,47.08,458.56
ARE,ARE,2009,48.82,460.26
ARE,ARE,2010,49.91,457.91
ARE,ARE,2011,50.9,457.33
ARE,ARE,2012,52.92,457.27
ARE,ARE,2013,53.31,451.29
ARE,ARE,2014,55.37,455.8
ARE,ARE,2015,56.29,451.86
ARE,ARE,2016,58.31,453.29
ARE,ARE,2017,60.11,450.3
ARE,ARE,2018,61.16,452.82
ARE,ARE,2019,62.72,448.85
ARE,ARE,2020,64.19,448.6
ARE,ARE,2021,65.3,445.06
ARE,ARE,2022,68.02,444.86
ARE,ARE,2023,69.05,443.85
ARE,ARE,2024,71.45,446.57
ARG,ARG,2000,29.89,404.67
ARG,ARG,2001,30.7,400.72
ARG,ARG,2002,31.57,399.08
ARG,ARG,2003,31.91,391.43
ARG,ARG,2004,32.77,388.38
ARG,ARG,2005,33.33,382.08
ARG,ARG,2006,33.9,378.04
ARG,ARG,2007,34.41,377.88
ARG,ARG,2008,35.27,371.64
ARG,ARG,2009,35.82,366.84
ARG,ARG,2010,37.0,365.66
ARG,ARG,2011,37.39,357.99
ARG,ARG,2012,38.26,356.87
ARG,ARG,2013,38.39,347.21
ARG,ARG,2014,39.43,345.44
ARG,ARG,2015,40.57,345.91
ARG,ARG,2016,40.99,337.5
ARG,ARG,2017,41.76,334.73
ARG,ARG,2018,42.8,329.64
ARG,ARG,2019,43.19,327.28
ARG,ARG,2020,44.79,325.49
ARG,ARG,2021,44.83,320.85
ARG,ARG,2022,46.31,315.61
ARG,ARG,2023,46.22,307.97
ARG,ARG,2024,47.15,305.61
ARM,ARM,2000,0.29,461.35
ARM,ARM,2001,0.3,459.8
ARM,ARM,2002,0.32,458.24
ARM,ARM,2003,0.33,451.49
ARM,ARM,2004,0.34,444.12
ARM,ARM,2005,0.35,439.41
ARM,ARM,2006,0.37,435.11
