country,country_code,year,coal_pct,oil_pct,gas_pct,nuclear_pct,hydro_pct,wind_pct,solar_pct,other_renewables_pct,total_generation_twh,region,battery_storage_mwh,pumped_hydro_mwh
ABW,ABW,2000,21.59,34.36,14.4,0.0,0.0,4.71,0.98,23.96,0.33,South America,0.0,0.1
ABW,ABW,2001,20.57,34.39,13.99,0.0,0.0,5.6,1.2,24.25,0.34,South America,0.0,0.1
ABW,ABW,2002,19.38,34.13,13.07,0.0,0.0,6.49,1.51,25.42,0.36,South America,0.0,0.11
ABW,ABW,2003,18.38,34.07,12.62,0.0,0.0,7.61,2.18,25.14,0.38,South America,0.0,0.12
ABW,ABW,2004,17.93,33.46,12.19,0.0,0.14,8.16,2.6,25.52,0.39,South America,0.0,0.13
ABW,ABW,2005,16.63,33.44,11.27,0.0,0.5,9.19,2.77,26.2,0.41,South America,0.0,0.13
ABW,ABW,2006,16.09,33.13,10.94,0.0,0.18,10.19,2.94,26.53,0.43,South America,0.0,0.14
ABW,ABW,2007,14.94,32.95,10.47,0.0,0.12,10.84,3.6,27.08,0.46,South America,0.0,0.15
ABW,ABW,2008,14.15,32.9,9.56,0.0,0.2,11.48,4.28,27.43,0.48,South America,0.0,0.16
ABW,ABW,2009,13.29,32.8,9.17,0.0,0.15,12.17,4.42,28.0,0.5,South America,0.0,0.16
ABW,ABW,2010,12.73,32.72,8.38,0.0,0.0,13.42,4.35,28.4,0.52,South America,0.0,0.17
ABW,ABW,2011,11.87,32.61,7.98,0.0,0.0,14.06,4.61,28.87,0.55,South America,0.07,0.18
ABW,ABW,2012,10.57,32.43,7.32,0.0,0.04,14.93,5.64,29.07,0.57,South America,0.1,0.18
ABW,ABW,2013,9.72,32.11,6.55,0.0,0.0,15.85,5.68,30.09,0.61,South America,0.13,0.19
ABW,ABW,2014,8.72,31.9,5.97,0.0,0.12,16.57,6.44,30.28,0.63,South America,0.18,0.19
ABW,ABW,2015,8.09,31.66,5.34,0.0,0.0,17.65,6.25,31.01,0.66,South America,0.24,0.21
ABW,ABW,2016,7.09,31.0,5.12,0.0,0.06,18.41,6.78,31.54,0.68,South America,0.32,0.21
ABW,ABW,2017,6.21,30.9,4.47,0.0,0.0,19.06,7.64,31.72,0.72,South America,0.44,0.22
ABW,ABW,2018,5.37,31.13,3.63,0.0,0.17,20.02,7.46,32.22,0.76,South America,0.59,0.23
ABW,ABW,2019,4.23,31.21,2.93,0.0,0.0,20.66,8.12,32.85,0.8,South America,0.79,0.23
ABW,ABW,2020,3.6,30.79,2.33,0.0,0.02,21.76,8.33,33.17,0.83,South America,1.05,0.25
ABW,ABW,2021,2.32,30.92,1.59,0.0,0.06,22.65,8.81,33.65,0.87,South America,1.45,0.25
ABW,ABW,2022,1.92,29.97,1.28,0.0,0.25,23.37,9.17,34.04,0.91,South America,1.97,0.26
ABW,ABW,2023,0.87,29.88,0.75,0.0,0.2,23.81,9.84,34.65,0.96,South America,2.6,0.27
ABW,ABW,2024,0.08,29.63,0.0,0.0,0.22,24.71,10.2,35.16,1.01,South America,3.52,0.27
AFG,AFG,2000,4.49,1.12,2.41,0.0,84.32,0.03,0.04,7.59,2.42,Asia,0.0,5.74
AFG,AFG,2001,4.14,0.94,1.89,0.0,85.66,0.0,0.02,7.35,2.53,Asia,0.0,6.02
AFG,AFG,2002,4.11,1.03,1.87,0.0,85.06,0.0,0.1,7.83,2.64,Asia,0.0,6.32
AFG,AFG,2003,3.65,1.3,1.81,0.0,85.1,0.05,0.41,7.68,2.78,Asia,0.0,6.51
AFG,AFG,2004,3.56,1.52,1.7,0.0,85.02,0.0,0.19,8.01,2.9,Asia,0.0,6.73
AFG,AFG,2005,3.75,0.75,1.72,0.0,85.12,0.0,0.43,8.23,3.04,Asia,0.0,7.03
AFG,AFG,2006,3.62,1.0,2.03,0.0,84.34,0.0,0.6,8.41,3.16,Asia,0.0,7.26
AFG,AFG,2007,3.63,0.98,1.41,0.0,85.28,0.18,0.11,8.41,3.33,Asia,0.0,7.41
AFG,AFG,2008,3.19,1.18,1.64,0.0,84.5,0.15,0.44,8.9,3.45,Asia,0.0,7.66
AFG,AFG,2009,3.04,0.98,1.2,0.0,84.82,0.0,0.61,9.35,3.62,Asia,0.0,7.71
AFG,AFG,2010,3.0,1.3,1.5,0.0,84.34,0.0,0.58,9.28,3.77,Asia,0.0,8.39
AFG,AFG,2011,2.7,1.11,1.11,0.0,85.22,0.2,0.38,9.28,3.92,Asia,0.38,8.64
AFG,AFG,2012,2.87,1.03,1.17,0.0,84.66,0.0,0.56,9.71,4.11,Asia,0.5,8.67
AFG,AFG,2013,2.59,1.01,0.86,0.0,84.97,0.0,0.53,10.04,4.35,Asia,0.7,9.14
